A,B,C,D,E,E (a.c.),F,G,H,K,P,P (a.c.),Q,Q (a.c.),S,T,T (a.c.)
ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,#LACUNA#,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά
μου,μου,μου,μου,μου,μου,μου,μου,μου,#LACUNA#,μου,μου,μου,μου,μου,μου,μου
βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,#LACUNA#,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,#LACUNA#,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς
ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,#LACUNA#,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.
Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,#LACUNA#,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ
τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,#LACUNA#,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο
,,,,,,,,,#LACUNA#,,,γὰρ,γὰρ,,,
χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,#LACUNA#,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,#LACUNA#,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς
τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,#LACUNA#,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις
ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,#LACUNA#,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν
ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,#LACUNA#,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ
λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,#LACUNA#,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος
ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,#LACUNA#,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται
λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,#LACUNA#,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων
ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,#LACUNA#,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις
εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,#LACUNA#,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,#LACUNA#,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ
δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,#LACUNA#,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽
οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,#LACUNA#,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,#LACUNA#,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά
μου,μου,μου,μου,μου,μου,μου,μου,μου,#LACUNA#,μου,μου,μου,μου,μου,μου,μου
βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,#LACUNA#,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,#LACUNA#,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς
ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,#LACUNA#,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.
Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,,,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου
μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,ἡ,,,,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ
,,,,,,ἀπὸ,,,,,,,,,,
,,,,,,τῶν,,,,,,,,,,
,,,,,,τῆς,,,,,,,,,,
,,,,,,κακίας,,,,,,,,,,
,,,,,,ὀκτῶ,,,,,,,,,,
,,,,,,λογισμῶν,,,,,,,,,,
Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις
γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς
,πεφαρμακευμένον,,,,,,,,,πεφαρμακευμένον,πεφαρμακευμένον,,,πεφαρμακευμένον,,
βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,μέλος,μέλος
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ
πεφαρμακευμένον,,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,,,πεφαρμακευμένον,πεφαρμακευμένον,,πεφαρμακευμένον,πεφαρμακευμένον
ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε
τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
"ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν
ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν
"ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον
"χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,"
πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα
τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν
ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.
βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον
γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ
οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι
μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα
σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν
διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς
τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ
"προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,"
ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ
διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ
τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν
τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς
ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς
πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,παρανάλωμα,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον
γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι
τὸν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τὸν
ἐχθρόν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν
Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε
συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας
γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν
ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν
θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς
"σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μηδαμῶς,μὴ,μὴ
δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,,δῷς,δῷς
αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐτῆς,αὐτῆς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς
παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν
θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι
σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί
ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.
Θάλλει,θάλπει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,θάλπει,θάλπει,Θάλλει,Θάλλει,θάλπει,Θάλλει,Θάλλει
βοτάνη,,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,,,βοτάνη,βοτάνη,,βοτάνη,βοτάνη
ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἰστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἐστῶσα,ἐστῶσα
,βοτάνη,,,,,,,,,βοτάνη,βοτάνη,,,βοτάνη,,
παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽
"ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος
"ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,"
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις
γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.
τοῦ,τοῦ,τοῦ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τοῦ,τοῦ,#LACUNA#,#LACUNA#,τοῦ,#LACUNA#,#LACUNA#
Χρυσοστόμου,Χρυσοστόμου,Χρυσοστόμου,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,Χρυσοστόμου,Χρυσοστόμου,#LACUNA#,#LACUNA#,Χρυσοστόμου,#LACUNA#,#LACUNA#
Τοὺς,Τοὺς,Τοὺς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,Τοὺς,Τοὺς,#LACUNA#,#LACUNA#,Τοὺς,#LACUNA#,#LACUNA#
ἐν,ἐν,ἐν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,ἐν,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,#LACUNA#
τῇ,τῇ,τῇ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τῇ,τῇ,#LACUNA#,#LACUNA#,τῇ,#LACUNA#,#LACUNA#
πόλει,πόλει,πόλει,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,πόλει,πόλει,#LACUNA#,#LACUNA#,πόλει,#LACUNA#,#LACUNA#
"βλασφημοῦντας,","βλασφημοῦντας,","βλασφημοῦντας,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"βλασφημοῦντας,","βλασφημοῦντας,",#LACUNA#,#LACUNA#,"βλασφημοῦντας,",#LACUNA#,#LACUNA#
σωφρόνιζε.,σωφρόνιζε.,σωφρόνιζε.,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,σωφρόνιζε.,σωφρόνιζε.,#LACUNA#,#LACUNA#,σωφρόνιζε.,#LACUNA#,#LACUNA#
Κἂν,Κἂν,Κἂν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,Κἂν,Κἂν,#LACUNA#,#LACUNA#,Κἂν,#LACUNA#,#LACUNA#
ἀκούσῃς,ἀκούσῃς,ἀκούσῃς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀκούσῃς,ἀκούσῃς,#LACUNA#,#LACUNA#,ἀκούσῃς,#LACUNA#,#LACUNA#
τινὸς,τινὸς,τινὸς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τινὸς,τινὸς,#LACUNA#,#LACUNA#,τινὸς,#LACUNA#,#LACUNA#
ἐν,ἐν,ἐν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,ἐν,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,#LACUNA#
ἀμφόδῳ,ἀμφόδῳ,ἀμφόδῳ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀμφόδῳ,ἀμφόδῳ,#LACUNA#,#LACUNA#,ἀμφόδῳ,#LACUNA#,#LACUNA#
,ἢ,,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἢ,ἢ,#LACUNA#,#LACUNA#,ἢ,#LACUNA#,#LACUNA#
,ἐν,,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,ἐν,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,#LACUNA#
,ὁδῶ,,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ὁδῶ,ὁδῶ,#LACUNA#,#LACUNA#,ὁδῶ,#LACUNA#,#LACUNA#
ἢ,ἢ,ἢ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἢ,ἢ,#LACUNA#,#LACUNA#,ἢ,#LACUNA#,#LACUNA#
ἐν,ἐν,ἐν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,ἐν,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,#LACUNA#
ἀγορᾷ,ἀγορᾷ,ἀγορᾷ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀγορᾷ,ἀγορᾷ,#LACUNA#,#LACUNA#,ἀγορᾷ,#LACUNA#,#LACUNA#
